bbcid,summary,system,ans_factual,ans_contradict,self_verdict,uncertainty
36418721,"scotland women's euro 2017 qualifier against iceland on friday would be a "" humiliating "" chance to reach the finals, according to midfielder anna evans.",BERTS2S,no.,no.,Unsupported,0.057641318982612
38097669,scotland's hopes of reaching the cyprus cup quarter-finals with a hard-fought win over georgia in the first test in perth.,PtGen,yes.,yes.,Unsupported,0.07503176288240997
18944949,ferrari's fernando alonso won a thrilling hungarian grand prix to beat ferrari's jenson button to win the hungarian grand prix.,BERTS2S,yes.,yes.,Unsupported,0.0240754531270123
19311364,"the right to be built in social housing should be scrapped in a bid to boost the housing market, a think tank has said.",TranS2S,no.,yes.,Contradicted,0.1393588350776192
35428466,writer william mcilvanney is to be given the freedom of the university of glasgow.,TranS2S,yes,yes,Unsupported,0.05404335144262338
33210810,a man has died in a three-vehicle crash in the angus area off the coast of mayo in the highlands.,PtGen,no.,no,Unsupported,0.05866350301188083
35082344,google has pledged $ 1bn ( £800m ) to research and research into artificial intelligence ( ai ).,BERTS2S,yes.,no,Entailed,0.027121679889504043
27493801,northern ireland's councils have voted to reject the government's plans for a new community in northern ireland.,TranS2S,no.,yes.,Contradicted,0.15009537178929738
38342554,"lorry drivers caught using a mobile phone as the driver's death on the a34, have been jailed.",TranS2S,no,yes,Contradicted,0.06392786120670757
35504758,bernie sanders and bernie sanders have clashed on social media in the democratic presidential race for the first time.,TranS2S,no.,yes.,Contradicted,0.08789251557133614
27493801,northern ireland's councils have voted to reject the government's plans for a new community in northern ireland.,TranS2S,no.,yes.,Contradicted,0.15009537178929738
24522070,"older people living in residential care will be ``unacceptable variations''across wales, a report has suggested.",PtGen,no.,yes.,Contradicted,0.046135531614435774
40639020,a us police officer has been charged with murder after the death of a teenager in the us state of dallas.,TConvS2S,no.,yes,Contradicted,0.11241623921011708
33945697,a memorial service has been held in portsmouth to mark the 70th anniversary of vj day.,TConvS2S,no.,yes,Contradicted,0.10601861097985021
38156376,police have appealed for help in tracing a woman who has been missing for six years.,TranS2S,no.,yes.,Contradicted,0.16102882785920403
39379405,"a oil company has said it is "" extremely concerned "" about the health of six workers who were exposed to radioactive radiation at a north sea platform.",BERTS2S,no.,yes.,Contradicted,0.045331641611676264
35483754,celtic's hopes of reaching the europa league quarter-finals have suffered a setback as they were held to a goalless draw by hearts.,TranS2S,no.,yes.,Contradicted,0.026649097336355485
39587051,elinor barker won britain's first gold medal of the 2016 rio olympics with silver in the women's individual pursuit.,TranS2S,yes.,yes.,Unsupported,0.10895755513728819
36886766,"england's innings-and-39-run defeat by pakistan in the third test was "" one of the greatest in the history "", says former",BERTS2S,yes.,no.,Entailed,0.03388558334864902
32093224,hundreds of people have taken part in a charity in derry to wear welly trees in a bid to save their lives.,PtGen,no.,no.,Unsupported,0.07832605286299588
33210810,one person has died following a two-vehicle crash on the a9 in the highlands.,BERTS2S,no,yes,Contradicted,0.09978998015036553
38457071,manchester city have agreed a deal to sign goalkeeper carlos tevez from chinese side shanghai sipg.,TConvS2S,no.,no,Unsupported,0.04192491494570112
33335482,a music shop in sunderland has voted to sell their own album in a bid to sell their own album.,PtGen,yes.,yes,Unsupported,0.13626359610372757
35412241,"leeds rhinos say they have been left "" devastated "" by the flooding that affected their training ground last month.",BERTS2S,no,yes,Contradicted,0.034689156800434474
18194275,this year's london fringe festival is taking place in london.,TConvS2S,no.,yes.,Contradicted,0.0646814226052371
34696683,hundreds of people have attended the opening of a church that was damaged during last year's floods.,BERTS2S,yes,yes,Unsupported,0.1815807741749759
36664885,hundreds of people have attended a library in londonderry as part of a public inquiry into the future of the town's crown.,PtGen,no.,no,Unsupported,0.06980083022106136
39379405,"a oil company has said it is "" extremely concerned "" about the health of six workers who were exposed to radioactive radiation at a north sea platform.",BERTS2S,no.,yes.,Contradicted,0.045331641611676264
34536537,an unexploded world war two mine has been evacuated off the south coast of scotland after an explosive device was found.,TranS2S,no.,yes.,Contradicted,0.08354065536661168
40642906,leigh centurions have appointed former scotland international jamie duffy as their new head coach on a two-year deal.,TConvS2S,no.,yes,Contradicted,0.046862060521791725
36404868,mclaren's sebastian vettel and kimi raikkonen are in the race for the formula 1 title this weekend.,TranS2S,"no. the information provided in the summary does not mention sebastian vettel or kimi raikkonen, nor is there any discussion of their current results or performances. the article focuses on mclaren's struggles with honda power-units and its past successes under ron dennis' leadership.",no.,Unsupported,0.029671208177486124
30863268,alfreton town have signed defender joel mooney from fellow league one side oldham athletic on a two-year deal. end.,PtGen,no,no,Unsupported,0.036567560746092284
34041727,a man has been arrested on suspicion of murder after a man was stabbed to death in south yorkshire.,TConvS2S,no,no,Unsupported,0.33202697528761865
39141044,england fly-half mako vunipola has been ruled out of the rest of the season after suffering a knee injury.,PtGen,no,yes,Contradicted,0.13908691548577554
37838086,"the bank of england's governor of the bank of england, mark carney, has announced he will step down at the end of the year.",TConvS2S,yes.,yes,Unsupported,0.15993179873952384
36824899,daisy daisy and daisy [UNK] have shared rare cloned sheep through a [UNK] pen in a barn on a farm in nottingham.,PtGen,no.,yes.,Contradicted,0.04891955204959297
38505171,iran's ex-wife has called on the british government to appeal against her jailed sentence for plotting mass murder in tehran.,TranS2S,no,yes.,Contradicted,0.08789251557133614
38333121,a man has been found guilty of defrauding an elderly hillsborough charity worker out of thousands of pounds.,TranS2S,no.,no,Unsupported,0.06430353805942558
37543139,the jersey football association (ifa) has said it will not accept a bid to host the 2018 world cup in 2021.,TConvS2S,no.,no,Unsupported,0.04695367742425544
38847045,a new railway station is to be built on a former railway station site in south lancashire.,BERTS2S,no.,yes,Contradicted,0.14590425099752877
36687249,juan martin del potro beat spain's juan martin del potro to reach the second round of the australian open.,TConvS2S,yes.,yes.,Unsupported,0.07756487275207245
36922763,millions of people are being urged not to renew their tax credit because of a lack of their tax credits.,TranS2S,no.,no,Unsupported,0.13428209570689795
40965536,the british national team will play greece in the eurobasket 2017 next month.,TranS2S,no.,no,Unsupported,0.06712680240785066
33811105,the scottish government has been accused of ``burying the size of taxation''by the scottish government.,TConvS2S,no.,yes.,Contradicted,0.035235431532845564
23304092,police investigating the murder of a man found dead at his home in cambridgeshire have issued a cctv appeal.,TranS2S,no.,yes,Contradicted,0.07488535948913438
33928485,a coal mine in south yorkshire has collapsed as a result of the loss of a coal mine.,TConvS2S,no.,yes,Contradicted,0.14791273425978155
34104114,"chinese authorities have arrested 21 people suspected of selling fake stockpiles, state media report.",TranS2S,no,yes,Contradicted,0.11197796982787793
35243864,all images are copyrighted.,BERTS2S,yes.,yes.,Unsupported,0.05106737830317957
32719212,"one of the uk's most famous landmarks, the duke, has been given the go-ahead by the national trust.",TConvS2S,no,no,Unsupported,0.09728814615620673
31566848,"a woman was assaulted and assaulted in a mcdonald's restaurant in kent, police have said.",BERTS2S,no.,no,Unsupported,0.1548599103397344
38763308,the partner of a baby girl born in a carmarthenshire car has said she is concerned for the treatment of the fertility treatment.,TranS2S,no,no,Unsupported,0.06184010820172636
36958859,torquay united have signed defender angus macdonald from non-league side torquay united on a three-year deal for an undisclosed fee.,PtGen,no.,yes,Contradicted,0.13507121447513626
38592703,a major road has reopened in bristol following a crash involving two commuters.,TranS2S,no,yes,Contradicted,0.08256737725124999
35794194,the head of the international community in jordan has urged the international community to help tackle the ``crisis crisis''in syria.,TConvS2S,yes.,yes.,Unsupported,0.0644292536363521
39255356,the live-action remake of the live-action remake of beauty and the beast has been approved by the malaysian government.,PtGen,no.,yes.,Contradicted,0.15531426671942994
39017131,a man is in a critical condition in hospital after being shot in the head in north belfast.,TConvS2S,no.,yes.,Contradicted,0.14951020539044557
28783667,uruguay's luis suarez has been given a one-match ban for biting uruguay's giorgio chiellini.,TConvS2S,no.,yes.,Contradicted,0.05597710562304024
38713957,the family of a [UNK] say they have found a unique way to swim in the sea off the coast of australia.,PtGen,no.,no.,Unsupported,0.029555531099426883
37429966,a new pension scheme to restore bernard matthews's chicken and chicken has been given guarantees by the unite union.,PtGen,no.,yes,Contradicted,0.05730456442826864
38157000,worcestershire have re-signed australia all-rounder mitch santner for the 2016 season.,TranS2S,no.,yes,Contradicted,0.05116721674316673
40540127,andy murray reached the third round of the italian open with a straight-set win over italy's kei ninini.,TranS2S,yes.,yes.,Unsupported,0.03572047411377196
36437817,"northern ireland's euro 2016 qualifier against northern ireland is a ``crazy moment'', according to former world cup winner gareth washington.",PtGen,no.,no,Unsupported,0.07532542889919286
16025568,"the world's largest satellite satellite, the team, has published a new survey of the world's largest satellite satellite.",TConvS2S,no.,yes.,Contradicted,0.06417806778110786
33665360,a man and a woman have been arrested in connection with an elaborate bomb found at a house in eastbourne.,TranS2S,no,yes,Contradicted,0.10498831192716152
23602056,a roman silver coin believed to be one of britain's most famous roman coins has been discovered in norfolk.,TranS2S,no.,yes.,Contradicted,0.0820849986238988
38534338,police have said they are treating the death of a man whose body was found in a flat in glenrothes at the weekend.,TranS2S,no,no,Unsupported,0.11132376739130573
34743526,"more than # 1m has been spent on private landlords in london for more than a decade, according to a report.",TConvS2S,no.,yes.,Contradicted,0.06570000679939665
35773812,argos owner home retail group has reported a 23% rise in like-for-like sales to # eight-week m in the first half of the year.,TConvS2S,no.,yes.,Contradicted,0.05608654274486039
37429966,a new pension scheme to restore bernard matthews's chicken and chicken has been given guarantees by the unite union.,PtGen,no.,no,Unsupported,0.05730456442826864
38450424,"israeli prime minister benjamin netanyahu has said it is ``deeply disappointed''that israel's new prime minister, benjamin netanyahu, will step down.",TConvS2S,no.,yes.,Contradicted,0.05037394257513113
35412241,"leeds rhinos'training ground will be replaced by the rugby league's world governing body, says the rugby league chief executive.",TranS2S,no,no,Unsupported,0.03201962605384605
35903821,potholes have been discovered at three potholes in northumberland.,BERTS2S,no.,no,Unsupported,0.12226523948895596
35243864,"the oldest image of the oldest image of children dressed in the street in liverpool, has been unveiled in liverpool.",PtGen,yes.,no,Entailed,0.04649737707355894
34687720,northern ireland's rory mcilroy is one shot off the lead after the first round of the fedex championship in california.,TConvS2S,no.,yes.,Contradicted,0.05775400969745271
38865319,alexis sanchez was sent off in the first half as arsenal beat 10-man hull to reach the premier league play-off final.,BERTS2S,yes.,yes.,Unsupported,0.053309505453285416
38479017,league two club leyton orient have signed mansfield town striker chris bignot on an initial short-term deal until the end of the season.,PtGen,no,no,Unsupported,0.05037394257513113
38260939,badminton has lost its uk sport funding for the 2020 olympics and paralympics after uk sport withdrew its funding.,BERTS2S,yes.,yes.,Unsupported,0.08485622926246582
35146033,a study into the route of a railway line between the uk and the north-east of england has been described as ``inadequate''by a report.,TConvS2S,no.,yes.,Contradicted,0.05696977727564115
35548510,"turkish president recep tayyip erdogan has said fire broke out at offices in istanbul's capital, istanbul.",TranS2S,no,no,Unsupported,0.05393790103427319
36437817,northern ireland striker ryan washington is hoping for a place in the northern ireland squad for euro 2016 after scoring his first international goal.,BERTS2S,no.,no.,Unsupported,0.0747392417609257
40679217,two senior councillors at aberdeenshire council are to leave the authority.,BERTS2S,yes,yes,Unsupported,0.04882409929541996
37761972,a woman who lost her hair at the age of five has told newsbeat that she's going to go head-to-head.,TranS2S,no.,yes.,Contradicted,0.07832605286299588
34461949,singapore's state-run paper paper has cancelled all of its supermarkets because of the haze caused by the haze caused by the air.,TranS2S,no.,no,Unsupported,0.053309505453285416
35424211,"st mirren have signed st mirren midfielder jack clarkson on loan until the end of the season, with the option of a further 12 months.",PtGen,no.,yes,Contradicted,0.1411393170124127
24522070,"older people in care homes in wales are to be given more care in care, a bbc investigation has found.",TConvS2S,yes.,yes,Unsupported,0.055324952588986245
27786442,"the demise of hereford united's takeover of kidderminster harriers has been resolved, the conference has confirmed.",TConvS2S,yes.,yes.,Unsupported,0.048349622005182585
37539801,"three people have been rescued from a burning car in the vale of glamorgan on saturday afternoon, police have said.",PtGen,no,no,Unsupported,0.0784791829273937
38865319,sam sanchez's second-half penalty earned hull a narrow victory over arsenal in the first game of the premier league season.,PtGen,yes.,yes.,Unsupported,0.05652643495158194
21197406,"an earthquake in italy has killed at least 18 people, italian scientists say.",TranS2S,no.,yes.,Contradicted,0.10096627285877001
38693675,a man has been found guilty of murdering his mother and his mother in a park in dorset.,TConvS2S,no.,yes,Contradicted,0.14690506017550908
38034979,ipswich made it three championship wins from two with a comfortable win over qpr.,TranS2S,yes.,yes.,Unsupported,0.04542026649376239
36436094,hibernian have signed former hibernian and hibernian midfielder alan stubbs and hibernian defender alan stubbs until the end of the season.,PtGen,no.,yes.,Contradicted,0.10938400295067245
29347895,"tributes have been paid to renowned renowned music director christopher lee, who has died at the age of 86.",TranS2S,yes.,yes.,Unsupported,0.09882021153081355
39206355,ireland lost to afghanistan in the second of the three-match twenty20 series in india on tuesday.,BERTS2S,no.,yes,Contradicted,0.0580934054505005
40138740,"in the wake of donald trump's decision to leave the eu, there is no doubt that the us should not be allowed to leave the country.",PtGen,no.,yes.,Contradicted,0.08452540617641245
31821135,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,BERTS2S,no.,no,Unsupported,0.08112867942327083
40613520,a man who admitted causing the death of a motorcyclist by dangerous driving has been spared a jail term.,PtGen,no.,yes,Contradicted,0.2660106987884688
40415756,a new report has warned that global food trade is at risk because of climate change.,BERTS2S,yes.,no,Entailed,0.14266363461398565
33717488,"as russia's roubles has broken the country's debt crisis, the country's second-largest bank has ever seen, having lost",TranS2S,yes.,yes,Unsupported,0.04047659998483431
